id,description,jobflag
0,"Executes and writes portions of testing plans, protocols, and documentation for assigned portion of application; identifies and debugs issues with code and suggests changes or improvements.",2
1,Maintain Network Performance by assisting with configurations and connections,3
2,Supports the regional compliance manager with day-to-day compliance support to assist the business and other stakeholders.,4
3,Keep up to date with local and national business and economic issues,1
4,Assist with Service Organization Control (SOC) examinations,4
5,"Establish a high level of code quality by writing unit tests, participating in code reviews, reducing cyclomatic complexity, removing code duplication, and debugging software modules",3
6,"RTL synthesis with timing and physical constraints, capacity and performance goals - Specifically, executing Xilinx Vivado and Intel PSG Quartus flows",3
7,Must be able to work independently in a small team.,1
8,Work with stakeholders to identify opportunities for leveraging company data to drive business solutions.,1
9,"Designs, develops, documents, tests and debugs application software. Conducts analysis and collaborates with subject matter experts in the planning, design, development, and utilization of electronic data processing systems for information storage, processing, presentation, manipulation, display, or reporting.  Act as Scrum-of-Scrum Master for 2-3 teams to track cross-team dependencies and resolve barriers  Facilitate Defect Triage meetings and manage the Issue Analysis process  Conduct key formal peer reviews, collect key metrics to facilitate a learning organization  Ensure Definition-of-Ready and Definition-of-Done criteria being met  Facilitate common software requirements analysis across multiple projects  Assist Chief Software Engineer and Technical Program Managers with overall continuous technical process improvements",3
10,Build scalable machine learning services and data platforms,2
11,Provide and maintain domain expertise of relevant software technologies and products.,3
12,"Ensure orders are processed timely and accurately. Address any order adjustments and billing corrections completely. Support post-purchase ownership experience including delivery and service scheduling, replacement parts ordering, and consumer relations activities.",4
13,Work with subject matter experts to gather requirements and use cases and design architecture and modules capable of scaling out to meet anticipated growth,2
14,Developing new software components (initial design through testing and deployment),3
15,Participating in Tech Spikes and Feasibility studies to help flesh out new ideas and unknowns.,3
16,Stay actively engaged in the technology industry and understand how the evolving technologies can benefit our organization,3
17,Maintain and update controls portion of machine standards,3
18,Maintain a good working knowledge of current infrastructure and future trends and technologies.,3
19,Gathers information to support software project management,3
20,Evolve and refactor existing systems to scale and support future growth,3
21,"Follows a disciplined, structured sales process by deploying solution selling and strategic selling tools and techniques",4
22,Provide clients with data cleansing opportunities as a result of the data discovery process,4
23,Recognized as a technical expert within the On-Q & Enhanced Recovery Technology Platform.,2
24,Undertake preprocessing of structured and unstructured data,1
25,Write stories (or requirements) of platform enhancements.,3
26,Experience in designing and developing high-performance switching and routing software,3
27,Work with cross-functional teams to develop ideas and execute business plans.,1
28,Make continual recommendations and maintain proactivity for best project result,3
29,Leading / Mentoring junior engineers,4
